ProviderKey;ProviderName;ProviderId;Type;ParentId;ConcurrencyLimit;RestrictedRecommendations;OTTCastingRights;ProviderLogo;DeviceRegistration;MADL;MADLMovies;MADLEpisodes;MADLEpisodesPerSeason;Priority;GridInclusion;OTTStreamingRestrict;ExcludeFromAao;AVADEnabled;RelatedProvider;RelatedChannels;VodOTTOnlyPurchasable
SKY_SPORTS_HD;SKY_Sports_HD;SKYSPORTSHD;display;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_HD;SKY_Sports_HD;SKYSPORTSHD;content;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_MIX;SKY_SPORTS_MIX;SKYSPORTSMIX;display;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_MIX;SKY_SPORTS_MIX;SKYSPORTSMIX;content;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_NEWS;SKY_SPORTS_NEWS;SKYSPORTSNEWS;display;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_NEWS;SKY_SPORTS_NEWS;SKYSPORTSNEWS;content;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_SD;SKY_Sports_SD;SKYSPORTSSD;display;SKY;1;1;;;;;;;;;;;;;;;
SKY_SPORTS_SD;SKY_Sports_SD;SKYSPORTSSD;content;SKY;1;1;;;;;;;;;;;;;;;
SKY_WITNESS;SKY_WITNESS;SKYWITNESS;display;SKY;1;1;;;;;;;;;;;;;;;
SKY_WITNESS;SKY_WITNESS;SKYWITNESS;content;SKY;1;1;;;;;;;;;;;;;;;
TURNER;Turner;TURNER;content;;;;;;;;;;;;;;;;;;
TV3;TV3;TV3;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
TV3_MYPRIME;TV3_MyPrime;TV3MYPRIME;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
TV3_HD;TV3_HD;TV3_HD;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
TV3_HD;TV3_HD;TV3_HD;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
UKTV;UKTV;UKTV;content;;;;;;;;;;;;;;;;;;
UNITED_IE;UNITED_ie;UNITEDIE;content;;;;;;;;;;;;;;;;;;
VIACOM;Viacom;VIACOM;content;;;;;;;;;;;;;;;;;;
VU_CBS;VU_CBS;VUCBS;content;;;;;;;;;;;;;;;;;;
VU_MYPRIME_O;VU_MyPrime_O;VUMYPRIMEO;content;;;;;;;;;;;;;;;;;;
VU_TVOD;VU_TVOD;VUTVOD;content;;;;;;;;;;;;;;;;;;
replayDisplayProvider-VirginMedia;VirginMedia;;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
AMAZON_IE;AMAZON_IE;AMAZON_IE;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/AMAZON_IE.png;;;;;;;;;;;;;
AMAZON_IE;AMAZON_IE;AMAZON_IE;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/AMAZON_IE.png;;;;;;;;;;;;;
VMTV;VMTV;VMTV;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/VM_Play.png;;;;;;;;;;;;;
VMTV;VMTV;VMTV;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/VM_Play.png;;;;;;;;;;;;;
RTEPLAYER;RTEPLAYER;RTEPLAYER;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-RTEPLAYER.png;;;;;;;;;;;;;
RTEPLAYER;RTEPLAYER;RTEPLAYER;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-RTEPLAYER.png;;;;;;;;;;;;;
ALL4_OTT;ALL4_OTT;ALL4_OTT;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-ALL4_OTT.png;;;;;;;;;;;;;
ALL4_OTT;ALL4_OTT;ALL4_OTT;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-ALL4_OTT.png;;;;;;;;;;;;;
TG4;TG4;TG4;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-TG4.png;;;;;;;;;;;;;
TG4;TG4;TG4;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-TG4.png;;;;;;;;;;;;;
PARAMOUNT;PARAMOUNT;PARAMOUNT;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-PARAMOUNT.png;;;;;;;;;;;;;
PARAMOUNT;PARAMOUNT;PARAMOUNT;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-PARAMOUNT.png;;;;;;;;;;;;;
APPLETV_OTT;APPLETV_OTT;APPLETV_OTT;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-APPLETV_OTT.png;;;;;;;;;;;;;
APPLETV_OTT;APPLETV_OTT;APPLETV_OTT;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-APPLETV_OTT.png;;;;;;;;;;;;;
DISNEY;DISNEY;DISNEY;display;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-DISNEY.png;;;;;;;;;;;;;
DISNEY;DISNEY;DISNEY;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/provider-DISNEY.png;;;;;;;;;;;;;
