ServiceId;Name;EPGSourceID;DefaultSched;FocusedLogo;ServiceLanguage;Resolution;3D;Radio;Adult;OperatorLock;ServiceGroup; TSTVMode;GuardTimePreOffset;GuardTimePostOffset;ChannelBrand;ServiceGenre;LDVRTrickPlayControl;LDVRAuthRestrictions;WaterShedControl;ServiceReplacement;ContextMenuActions;ProviderLogo;ReplayProductizingRules;ReplaySources;LinearProducts;ReplayTrickPlayControl;ReplayToNDVR;ServicePurpose;PPV;ProviderName;NDVR;NDVRGuardTimePreOffset;NDVRGuardTimePostOffset;NDVRTrickPlayControl;DisabledOnOTT;OTTDevicesLocationRestrict;ContentProviderName;NDVRRetentionLimit;ChannelPromotion;OTTCastingRights;PPVEntitlementCodes;ThumbnailSupport;Broadcaster;DayPass;LinearBufferPlayback;ReplayCloudMaxDuration;ThumbnailSource;LiveThumbnails;ChannelLogos;OTTStreamingRestrict;GroupProviderKey;StartOverTrickPlayControl ;UIDPlacement;DeviceRegistration;ExcludeFromAao;NDVRAdBreakMaxDuration;OTTContentTypesRestrictPolicy;OTTContentTypeStreamingRestrict;AVADEnabled;AVADType;AVADAdSupport;ReviewBufferTrickPlayControl;CommercialReviewBufferTrickplayRestriction;AVADAdCPEplatform;AVADTargetedAdsOnly;AVADneaActiveBreakWindowPollPeriod;AVADAdvertiserProviderId;AVADAdvertiserAssetId;ThumbnailSourcesURL;SubtitleStyle;ReplayDeeplinkUsingOnApi
IESVC1017;Sky Premiere;21107;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1017_f.png;en-IE;SD;;;;;crid://dtv.ie/sg/16888014,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888350;SR_IE_CASID_16888014,SR_IE_CASID_16888400;0;180000;;4;;LDVRChannelBasedAuthorization=True,LDVRRestrictCPEStreaming=False;;;;;SR_IE_CASID_16888014,SR_IE_CASID_16888400;;crid://dtv.ie/lp/16888014,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888350;;saveReplayToNdvr;;;;1;60000;180000;;;;;;;;;;;;replay,ndvr;;vspp,nea;;;;SKY;;;;;;;;;;;;;;;;;;https://wp3-g-anp02030203-live-vxtoken-ie-preprod.prod.cdn.dmdsdp.com/live/disk1/IESVC1017/trickmode-mining/IESVC1017.mpd;;
IESVC1019;Sky Greats;24042;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1019_f.png;en-IE;SD;;;;;crid://dtv.ie/sg/16888014,crid://dtv.ie/sg/16888025,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888350;SR_IE_CASID_16888014,SR_IE_CASID_16888025,SR_IE_CASID_16888400;0;180000;;4;;LDVRChannelBasedAuthorization=True,LDVRRestrictCPEStreaming=False;;;;;SR_IE_CASID_16888014,SR_IE_CASID_16888025,SR_IE_CASID_16888400;;crid://dtv.ie/lp/16888014,crid://dtv.ie/lp/16888025,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888350;;saveReplayToNdvr;;;;1;60000;180000;;;;;;;;;;;;replay,ndvr;;vspp,nea;;;;SKY;;;;;;;;;;;;;;;;;;https://wp4-g-anp02030203-live-vxtoken-ie-preprod.prod.cdn.dmdsdp.com/live/disk1/IESVC1019/trickmode-mining/IESVC1019.mpd;;
IESVC1020;Club MTV;24214;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1020_f_new.png;en-IE;SD;;;;;crid://dtv.ie/sg/16888001,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;SR_IE_CASID_16888001,SR_IE_CASID_16888400;0;180000;;14;;LDVRChannelBasedAuthorization=True,LDVRRestrictCPEStreaming=False;;;;;SR_IE_CASID_16888001,SR_IE_CASID_16888400;;crid://dtv.ie/lp/16888001,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;saveReplayToNdvr;;;;1;60000;180000;;;;;;;;;;;;replay,ndvr;;vspp,nea;;;;;;;;;;;;;;;;;;;;;;https://wp1-g-anp01020102-live-vxtoken-ie-preprod.prod.cdn.dmdsdp.com/live/disk1/IESVC1020/trickmode-mining/IESVC1020.mpd;;
IESVC1021;National Geographic;21592;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1021_f.png;en-IE;SD;;;;;crid://dtv.ie/sg/16888102,crid://dtv.ie/sg/16888000,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;SR_IE_CASID_16888102,SR_IE_CASID_10000020,SR_IE_CASID_16888000,SR_IE_CASID_16888400;0;180000;;13;;LDVRChannelBasedAuthorization=True,LDVRRestrictCPEStreaming=False;;;;;SR_IE_CASID_16888102,SR_IE_CASID_10000020,SR_IE_CASID_16888000,SR_IE_CASID_16888400;;crid://dtv.ie/lp/16888102,crid://dtv.ie/lp/16888000,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;saveReplayToNdvr;;;;1;60000;180000;;;;;;;;;;;;replay,ndvr;;vspp,nea;;;;;;;;;;;;;;;;;;;;;;https://wp3-g-anp02030203-live-vxtoken-ie-preprod.prod.cdn.dmdsdp.com/live/disk1/IESVC1021/trickmode-mining/IESVC1021.mpd;;
IESVC1023;Sky Sports Golf;24216;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1023_f.png;en-IE;SD;;;;;crid://dtv.ie/sg/16888013,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888330;SR_IE_CASID_16888013,SR_IE_CASID_16888400;0;180000;;1;;LDVRChannelBasedAuthorization=True,LDVRRestrictCPEStreaming=False;;;;;SR_IE_CASID_16888013,SR_IE_CASID_16888400;;crid://dtv.ie/lp/16888013,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888330;;saveReplayToNdvr;;;;1;60000;180000;;;;;;;;;;;;replay,ndvr;;vspp,nea;;;;SKY;;;;;;;;;;;;;;;;;;https://wp4-g-anp02030203-live-vxtoken-ie-preprod.prod.cdn.dmdsdp.com/live/disk1/IESVC1023/trickmode-mining/IESVC1023.mpd;;
IESVC1024;NewsTalk 106;106355;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1024_f.png;en-IE;;;1;;;crid://dtv.ie/sg/16888102,crid://dtv.ie/sg/16888101,crid://dtv.ie/sg/16888098,crid://dtv.ie/sg/16888097,crid://dtv.ie/sg/16888000,crid://dtv.ie/sg/16888070,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;;;;;8;;;;;;;;;crid://dtv.ie/lp/16888102,crid://dtv.ie/lp/16888101,crid://dtv.ie/lp/16888098,crid://dtv.ie/lp/16888097,crid://dtv.ie/lp/16888000,crid://dtv.ie/lp/16888070,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;;hiddenOTT=True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IESVC1025;FM104;106353;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1025_f.png;en-IE;;;1;;;crid://dtv.ie/sg/16888102,crid://dtv.ie/sg/16888101,crid://dtv.ie/sg/16888098,crid://dtv.ie/sg/16888097,crid://dtv.ie/sg/16888000,crid://dtv.ie/sg/16888070,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;;;;;14;;;;;;;;;crid://dtv.ie/lp/16888102,crid://dtv.ie/lp/16888101,crid://dtv.ie/lp/16888098,crid://dtv.ie/lp/16888097,crid://dtv.ie/lp/16888000,crid://dtv.ie/lp/16888070,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;;hiddenOTT=True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IESVC1026;Sunshine 106.8;106356;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1026_f.png;en-IE;;;1;;;crid://dtv.ie/sg/16888102,crid://dtv.ie/sg/16888101,crid://dtv.ie/sg/16888098,crid://dtv.ie/sg/16888097,crid://dtv.ie/sg/16888000,crid://dtv.ie/sg/16888070,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;;;;;14;;;;;;;;;crid://dtv.ie/lp/16888102,crid://dtv.ie/lp/16888101,crid://dtv.ie/lp/16888098,crid://dtv.ie/lp/16888097,crid://dtv.ie/lp/16888000,crid://dtv.ie/lp/16888070,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;;hiddenOTT=True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IESVC1027;Spin 1038;106357;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1027_f.png;en-IE;;;1;;;crid://dtv.ie/sg/16888102,crid://dtv.ie/sg/16888101,crid://dtv.ie/sg/16888098,crid://dtv.ie/sg/16888097,crid://dtv.ie/sg/16888000,crid://dtv.ie/sg/16888070,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;;;;;14;;;;;;;;;crid://dtv.ie/lp/16888102,crid://dtv.ie/lp/16888101,crid://dtv.ie/lp/16888098,crid://dtv.ie/lp/16888097,crid://dtv.ie/lp/16888000,crid://dtv.ie/lp/16888070,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;;hiddenOTT=True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IESVC1028;98FM;106354;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/ImagesEPG/EventImages/IESVC1028_f.png;en-IE;;;1;;;crid://dtv.ie/sg/16888102,crid://dtv.ie/sg/16888101,crid://dtv.ie/sg/16888098,crid://dtv.ie/sg/16888097,crid://dtv.ie/sg/16888000,crid://dtv.ie/sg/16888070,crid://dtv.ie/sg/16888400,crid://dtv.ie/sg/17888300;;;;;14;;;;;;;;;crid://dtv.ie/lp/16888102,crid://dtv.ie/lp/16888101,crid://dtv.ie/lp/16888098,crid://dtv.ie/lp/16888097,crid://dtv.ie/lp/16888000,crid://dtv.ie/lp/16888070,crid://dtv.ie/lp/16888400,crid://dtv.ie/lp/17888300;;;hiddenOTT=True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
